number,name,type1,type2,total,hp,attack,defense,sp_attack,sp_defense,speed,generation,legendary
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,FALSE
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,FALSE
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,FALSE
3,Mega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,FALSE
3,Gigantamax Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,FALSE
4,Charmander,Fire,,309,39,52,43,60,50,65,1,FALSE
5,Charmeleon,Fire,,405,58,64,58,80,65,80,1,FALSE
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,FALSE
6,Mega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,FALSE
6,Mega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,FALSE
6,Gigantamax Charizard,Fire,Flying,534,78,84,78,109,85,100,1,FALSE
7,Squirtle,Water,,314,44,48,65,50,64,43,1,FALSE
8,Wartortle,Water,,405,59,63,80,65,80,58,1,FALSE
9,Blastoise,Water,,530,79,83,100,85,105,78,1,FALSE
9,Mega Blastoise,Water,,630,79,103,120,135,115,78,1,FALSE
9,Gigantamax Blasoise,Blastoise,Water,530,79,83,100,85,105,78,1,FALSE
